"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000000003",747.194195359907,-0.3507029622814,0.168242083226488,-2.08451390731582,0.0371134465286872,0.171521712793355,"TSPAN6"
"ENSG00000000005",0,NA,NA,NA,NA,NA,"TNMD"
"ENSG00000000419",520.134160051965,0.206107283859632,0.101041504450297,2.03982793982465,0.0413674659636702,0.185117683665472,"DPM1"
"ENSG00000000457",322.664843927049,0.0245270113332231,0.145133863747844,0.168995785682633,0.865799956261562,0.965984092719715,"SCYL3"
"ENSG00000000460",87.682625164828,-0.147142630021599,0.256995442048618,-0.572549570718702,0.566949713033361,0.829990016293869,"C1orf112"
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA,"FGR"
"ENSG00000000971",5760.14836162122,0.459281901677217,0.234317862418826,1.96008062268972,0.0499863677087072,0.211338262844148,"CFH"
"ENSG00000001036",2025.39179382894,-0.228243775347832,0.124998993765366,-1.82596490157564,0.0678555488841997,0.258668118678498,"FUCA2"
"ENSG00000001084",652.173308358757,-0.253030788212283,0.2025763533379,-1.2490637927035,0.211641742285945,0.513166612571212,"GCLC"
"ENSG00000001167",411.684395281717,-0.533733422546038,0.228792179435846,-2.33283071065677,0.0196570321513754,0.110898237520263,"NFYA"
"ENSG00000001460",201.336569053853,-0.123557684163812,0.161101482333807,-0.766955600742374,0.443107913940266,0.747897392134062,"STPG1"
"ENSG00000001461",2918.77668675377,0.00210155962293631,0.288715698830908,0.00727899324992066,0.994192254953757,0.997977408339862,"NIPAL3"
"ENSG00000001497",539.501702816792,-0.0573209155426202,0.109328548106992,-0.52429961373423,0.600070165512093,0.851312534550682,"LAS1L"
"ENSG00000001561",115.914401421895,0.28681700315063,0.716013999284007,0.40057457457178,0.688733368114263,0.897932778808503,"ENPP4"
"ENSG00000001617",604.297522477042,-0.192202823229552,0.19868954663589,-0.967352467625161,0.333367863126123,0.657514460198994,"SEMA3F"
"ENSG00000001626",9.6724145714589,-0.28639373603006,0.586213534251702,-0.488548488385959,0.625161389357203,0.865570818270652,"CFTR"
"ENSG00000001629",1826.75812135437,-0.246091168768391,0.19039374993281,-1.29253806312044,0.196170873161764,0.492407719430308,"ANKIB1"
"ENSG00000001630",979.608386428198,-0.179753409132595,0.121371315353235,-1.48102052457327,0.138601104271129,0.402623074755362,"CYP51A1"
"ENSG00000001631",848.723819299268,-0.071254921534565,0.153647890270568,-0.463754636715725,0.642823547474156,0.875108440327311,"KRIT1"
"ENSG00000002016",203.735815126675,-0.411582551314463,0.22845069501,-1.80162529729423,0.0716043784127409,0.268066391529821,"RAD52"
"ENSG00000002079",3.06484852801131,1.06113089787866,1.77215403625154,0.598780284428979,0.549319411288803,NA,NA
"ENSG00000002330",688.667589034695,0.010325095942476,0.0964087218906274,0.107097114659289,0.914711936171931,0.98014093482247,"BAD"
"ENSG00000002549",1229.98469317186,0.164300715348862,0.177394153028791,0.926190139548716,0.354347175974359,0.675190056486977,"LAP3"
"ENSG00000002586",8367.26727634875,0.0792894245572947,0.131635580804015,0.602340370840499,0.546947593232016,0.815759967984569,"CD99"
"ENSG00000002587",1.95953335698007,0.399067136453948,1.15871210652168,0.344405771034792,0.730541149391138,NA,"HS3ST1"
"ENSG00000002726",1.53531673945229,0.804935220384854,1.80328135888759,0.446372506662743,0.65532818913406,NA,"AOC1"
"ENSG00000002745",7.28561888515924,-0.616756473606452,1.02004743751393,-0.604635089432331,0.545421486297118,0.814801279027522,"WNT16"
"ENSG00000002746",126.130005973738,0.193681258628363,0.308349671816289,0.628122149401075,0.529923924262144,0.80327676474157,"HECW1"
"ENSG00000002822",351.152304336473,-0.0573889279679121,0.150024114956448,-0.382531354939651,0.702067276195878,0.903271987573904,"MAD1L1"
"ENSG00000002834",8609.18275618938,0.416875049240615,0.108289883982013,3.84962134884048,0.000118300563718512,0.0019338670424211,"LASP1"
"ENSG00000002919",251.500095596273,0.341972771105389,0.144325320693512,2.36945789873974,0.0178141831350153,0.104108105872257,"SNX11"
"ENSG00000002933",546.441449222622,0.404466498425362,1.40062631378887,0.288775453126558,0.772753217770893,0.933388559246759,"TMEM176A"
"ENSG00000003056",1837.96769229328,-0.00770199446879816,0.100379831395949,-0.0767285057335627,0.938839527085255,0.985703137045895,"M6PR"
"ENSG00000003096",414.075308683702,-0.964578694491375,0.191738367700205,-5.03070254566659,4.88685818005154e-07,1.58458346995502e-05,"KLHL13"
"ENSG00000003137",106.506412172302,-1.03077575832244,0.583101196797993,-1.76774762936996,0.0771031035869474,0.280554121038207,"CYP26B1"
"ENSG00000003147",9.33188603208963,0.254913761010425,0.570453091267791,0.446861915401137,0.654974763469555,0.88059726602767,"ICA1"
"ENSG00000003249",122.242063046478,-0.368497893953384,0.35331983440471,-1.04295841351292,0.296967553736495,0.619262506117265,"DBNDD1"
"ENSG00000003393",860.859802380907,0.0548920522695975,0.166831376021325,0.329027150519822,0.742135166395076,0.921537977233787,"ALS2"
"ENSG00000003400",95.3711570248671,-0.178398759112442,0.354605348249356,-0.503090999594833,0.614900294347935,0.859055023801063,"CASP10"
"ENSG00000003402",3368.72335143759,1.16249955330816,0.126132957466077,9.21646155502859,3.07066097530245e-20,8.37041363826938e-18,"CFLAR"
"ENSG00000003436",5053.34063480256,-0.325443610582539,0.199414294161671,-1.63199740495379,0.102680032866816,0.337185099448179,"TFPI"
"ENSG00000003509",302.835086615061,-0.100895604230665,0.125081142686444,-0.806641209567392,0.419873224267924,0.73122982310591,"NDUFAF7"
"ENSG00000003756",2957.87449781706,-0.183767745063373,0.0804948658959529,-2.28297473407695,0.0224318566829624,0.121226999674759,"RBM5"
"ENSG00000003987",30.2673614014711,0.754684028303692,0.350787851071508,2.15139727900625,0.0314448557829851,0.153576561056104,"MTMR7"
"ENSG00000003989",39.5398447202775,0.586931678287077,0.730309093441571,0.803675708762122,0.421584286507068,0.732297232950986,"SLC7A2"
"ENSG00000004059",1684.3217819095,0.379689878070319,0.114186215779626,3.32518137568463,0.000883610321361523,0.00995175406054438,"ARF5"
"ENSG00000004139",312.643392000576,-0.0807770402249745,0.204988935274178,-0.394055611425726,0.69353998194652,0.900464017341792,"SARM1"
"ENSG00000004142",1468.18173216884,0.152287956451949,0.127369092080523,1.19564294574442,0.231835924838159,0.541163596396533,"POLDIP2"
"ENSG00000004399",3661.96471974267,-0.0519472683364618,0.217228480179186,-0.23913654551011,0.810999704496738,0.947088893945762,"PLXND1"
"ENSG00000004455",1236.90625297069,-0.0918567556007001,0.16457506932549,-0.55814502146148,0.576745359607769,0.835657262934391,"AK2"
"ENSG00000004468",5.59935950029571,0.241584540266397,0.814108985892581,0.296747173232004,0.766659539253357,NA,"CD38"
"ENSG00000004478",612.469678830193,-0.00303833336147261,0.166565480951918,-0.0182410745858541,0.985446535298853,0.995787421289705,"FKBP4"
"ENSG00000004487",1255.80031118487,-0.334105981348878,0.0960271346867373,-3.47928720812934,0.000502749459920017,0.00637172542466008,"KDM1A"
"ENSG00000004534",1306.14906893784,-0.303531313700865,0.158956283610492,-1.90952698947492,0.0561941434624167,0.228860574653342,"RBM6"
"ENSG00000004660",79.865424377978,-0.645176223114841,0.378104343142177,-1.70634438566139,0.0879439786526706,0.305354708262284,"CAMKK1"
"ENSG00000004700",1510.20849871797,0.40955324635857,0.119154785055757,3.43715316314762,0.000587863076898432,0.00716137447526484,"RECQL"
"ENSG00000004766",495.212595858396,-0.114357020360241,0.129930646196378,-0.880138933407601,0.37878405004523,0.696270111537285,"VPS50"
"ENSG00000004776",12520.3502740741,-0.154542221641236,0.24561186928656,-0.629213165023913,0.529209511130167,0.802677491891145,"HSPB6"
"ENSG00000004777",104.39554381318,-0.471432947912118,0.409431217289672,-1.15143381355452,0.249553809655382,0.562913593364308,"ARHGAP33"
"ENSG00000004779",366.340319770589,0.109903272914804,0.136518511216315,0.805043007981982,0.420794861902134,0.731872650917456,"NDUFAB1"
"ENSG00000004799",935.559303330853,2.55967531416087,0.911031411160664,2.80964551035602,0.00495960938100026,0.0399626240854845,"PDK4"
"ENSG00000004809",1.40994350389939,0.0528182171446746,1.54285854989871,0.0342339984103807,0.972690555610965,NA,"SLC22A16"
"ENSG00000004838",16.3434516100777,-0.923937905601341,0.411465406236141,-2.24548137364211,0.0247372466697584,0.13002309805965,"ZMYND10"
"ENSG00000004846",22.073292550198,-1.589951918494,0.649411925464149,-2.44829492060471,0.0143534114620711,0.0889892906210112,"ABCB5"
"ENSG00000004848",0.13880171053401,0.894699722854172,3.5338115409304,0.253182636507721,0.800127083554548,NA,"ARX"
"ENSG00000004864",152.306716934468,0.0559735430574175,0.274607904504835,0.203830778863949,0.838485739678076,0.958175795881945,"SLC25A13"
"ENSG00000004866",523.884326788918,-0.614081619535402,0.21208917708939,-2.89539347534261,0.00378683532435256,0.0325166430974705,"ST7"
"ENSG00000004897",1680.01793286077,-0.161864725228976,0.100718289427335,-1.60710359706572,0.108031644374127,0.347981761760282,"CDC27"
"ENSG00000004939",8.67357060287904,-0.609547355705543,0.567026525057219,-1.07498913854874,0.282379591166832,0.602722092201216,"SLC4A1"
"ENSG00000004948",0,NA,NA,NA,NA,NA,"CALCR"
"ENSG00000004961",435.963192136172,-0.166362433872841,0.141777470103787,-1.17340529317568,0.240633315586457,0.551558891813535,"HCCS"
"ENSG00000004975",1003.16479833127,-0.346747941966264,0.162596379853493,-2.13256864807629,0.0329601274977082,0.158759428135861,"DVL2"
"ENSG00000005001",0,NA,NA,NA,NA,NA,"PRSS22"
"ENSG00000005007",2286.27675995712,0.221287389623282,0.0941891111316873,2.34939460585732,0.0188039667233097,0.107739293484499,"UPF1"
"ENSG00000005020",752.819690039845,0.0733029434156408,0.150898998899225,0.485774882208427,0.627126784846183,0.866799594420864,"SKAP2"
